house_type_id,bedroom_count,bathroom_count,rent_amount,publisher_identity,rent_duration,identity,City_geo,State_geo,Postcode_geo,geometry,year
House,4.0,2.5,2395.0,0,0.0,0.0,Woodland,Washington,98674,POINT (-122.7366951 45.9244335),2020
Apartment,2.0,2.0,1200.0,0,5.8267148014440435,0.0,Jersey City,New Jersey,07302,POINT (-74.0405694 40.7271954),2020
Apartment,2.0,2.0,2000.0,0,1.0,0.0,West Hollywood,California,90069,POINT (-118.3718753 34.0931608),2020
Apartment,2.0,2.0,1280.0,1,3.0,0.0,Bellevue,Washington,98004-5983,POINT (-122.20209644 47.60973083),2020
Townhouse,3.0,1.5,1350.0,0,9.0,0.0,Seattle,Washington,98144,POINT (-122.3021721 47.585861),2020
Townhouse,5.0,2.0,1500.0,0,5.0,0.0,Seattle,Washington,98109,POINT (-122.342787 47.622475),2020
Apartment,6.0,5.0,1200.0,1,9.0,0.0,Los Angeles,California,90007,POINT (-118.2930867 34.0212439),2020
Apartment,1.0,1.0,1450.0,0,5.8267148014440435,0.0,Jersey City,New Jersey,07302,POINT (-74.0405694 40.7271954),2020
Townhouse,3.0,3.0,2600.0,0,5.8267148014440435,0.0,Newcastle,Washington,98056-1330,POINT (-122.161346 47.53897),2020
Apartment,1.0,1.0,1051.0,1,5.0,0.0,Austin,Texas,78705,POINT (-97.732596 30.29609),2020
Apartment,1.0,1.0,1165.0,1,1.0,0.0,Seattle,Washington,98105,POINT (-122.31472764 47.65793142),2020
Apartment,1.0,1.0,850.0,0,5.0,0.0,Seattle,Washington,98105,POINT (-122.3155385 47.663378),2020
House,3.0,2.5,1250.0,0,6.0,0.0,San Jose,California,95131,POINT (-121.8810872 37.3837887),2020
Apartment,2.0,2.0,2200.0,1,4.0,0.0,Bellevue,Washington,98004,POINT (-122.19203111 47.61539291),2020
Other,1.0,1.0,1400.0,0,9.0,0.0,Seattle,Washington,98105,POINT (-122.3152592 47.6571071),2020
Other,1.0,1.0,1350.0,0,9.0,0.0,Seattle,Washington,98105,POINT (-122.3152592 47.6571071),2020
Apartment,2.0,2.0,844.0,0,5.8267148014440435,0.0,Los Angeles,California,90038,POINT (-118.3305335 34.0878219),2020
House,4.0,2.5,1000.0,0,12.0,0.0,Fort Worth,Texas,76108,POINT (-97.4845028 32.7583609),2020
House,4.0,2.5,1000.0,0,12.0,0.0,Murfreesboro,Tennessee,37128,POINT (-86.4990032 35.8621005),2020
Apartment,1.0,1.0,2050.0,1,4.0,0.0,Bellevue,Washington,98004,POINT (-122.1971753 47.6198244),2020
Other,3.0,1.0,540.0,0,5.8267148014440435,0.0,Seattle,Washington,98105,POINT (-122.315919 47.668139),2020
Apartment,3.0,2.0,2500.0,0,7.0,0.0,Honolulu,Hawaii,96815,POINT (-157.8214785 21.2710896),2020
Apartment,2.0,2.0,1450.0,1,3.0,0.0,Irvine,California,92612,POINT (-117.8440556 33.6712303),2020
Townhouse,4.0,2.0,2400.0,0,5.8267148014440435,0.0,Malden,Massachusetts,02148,POINT (-71.08107529999999 42.4265635),2020
House,4.0,2.25,2295.0,0,0.0,0.0,Denver,Colorado,80249,POINT (-104.7397205 39.7726949),2020
House,3.0,2.0,1000.0,0,12.0,0.0,Greenville,South Carolina,29636,POINT (-82.3557634 34.7569977),2020
House,3.0,2.0,600.0,0,6.0,0.0,Bothell,Washington,98011,POINT (-122.19686265 47.76009082),2020
Apartment,1.0,1.0,1450.0,1,7.0,0.0,Boston,Massachusetts,02199,POINT (-71.08236839999999 42.3444878),2020
Apartment,1.0,1.0,2150.0,1,1.0,0.0,New York,New York,11101,POINT (-73.9423707 40.7477419),2020
House,3.0,2.5,1000.0,0,12.0,0.0,Peoria,Arizona,85382,POINT (-112.2431287 33.6510922),2020
Apartment,1.0,1.0,2150.0,2,9.0,0.0,New York,New York,11101,POINT (-73.94237699999999 40.7478181),2020
House,3.0,2.0,1000.0,0,12.0,0.0,Ladson,South Carolina,29456,POINT (-80.098439 33.025087),2020
House,3.0,2.5,1045.0,0,12.0,0.0,Moncks Corner,South Carolina,29461,POINT (-80.0052582 33.0807761),2020
Apartment,2.0,2.0,1600.0,0,5.8267148014440435,0.0,Jersey City,New Jersey,07302,POINT (-74.0402842 40.7190957),2020
Apartment,2.0,2.0,1250.0,2,6.0,0.0,New York,New York,10044,POINT (-73.9475159 40.7653738),2020
House,3.0,2.0,900.0,0,12.0,0.0,Jacksonville,Florida,32225,POINT (-81.5115304 30.363343),2020
Apartment,1.0,1.0,1500.0,1,7.0,0.0,Seattle,Washington,98109,POINT (-122.3562442 47.6213139),2020
House,4.0,2.0,2100.0,1,5.8267148014440435,0.0,Half Moon Bay,California,94019,POINT (-122.4443794 37.4782476),2020
House,4.0,2.5,1095.0,0,5.8267148014440435,0.0,Rockwall,Texas,75087,POINT (-96.38538250000001 32.9472816),2020
Apartment,2.0,1.0,950.0,0,5.8267148014440435,0.0,New York,New York,10115,POINT (-73.95708466000001 40.82011414),2020
Apartment,2.0,2.0,1375.0,0,10.0,0.0,Boston,Massachusetts,02134-1433,POINT (-71.1250304 42.3540307),2020
Apartment,1.0,1.0,650.0,0,5.8267148014440435,0.0,Shoreline,Washington,98133,POINT (-122.34804535 47.74939728),2020
Apartment,1.0,1.0,800.0,1,9.0,0.0,Minneapolis,Minnesota,55455,POINT (-93.2301282 44.9734273),2020
Townhouse,2.0,1.5,1200.0,1,6.0,0.0,Indianapolis,Indiana,46240,POINT (-86.1129655 39.8911841),2020
